"paragraph","label"
"各位仙家弟子：《古剑奇谭网络版》将于2024年11月7日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"本次维护更新内容如下：","格式"
"☆商城/外观","商城"
">>【双十一龙亏节】活动开启！","商城"
"外装论斤卖，支持跨体型选购，双十一小龙人又亏惨啦！","商城"
"活动时间：11月10日0:00-11月12日23:59。","商城"
"通过商城中的龙亏节按钮可以进入活动。","商城"
"活动期间，参与活动的商品将被标出斤数，仙家弟子可以选择合适的商品搭配，加入龙亏篮中。通过结算龙亏篮，可以直接获得龙亏篮中的所有商品。","商城"
"龙亏篮分为三个等级，每个龙亏篮最多只可以购买一次。","商城"
"初级龙亏篮：售价2880通宝，可以放下30斤的商品，购买后还可以额外获赠6000分钟的游戏时长。","商城"
"中级龙亏篮：售价5880通宝，可以放下65斤的商品，购买后还可以额外获赠12000分钟的游戏时长、188尘晶。","商城"
"高级龙亏篮：售价8000通宝，可以放下90斤的商品，购买后还可以额外获赠16000分钟的游戏时长、388尘晶、1时晶。","商城"
">>商城1.5倍积分活动开启","商城"
"活动时间：2024年11月7日更新维护后~2024年11月21日更新维护前。","商城"
"☆活动更新","PVX"
">>化解孤鸾煞","PVX"
"活动时间：2024年11月7日更新维护结束后至2024年11月28日更新维护结束前。","PVX"
"世有孤鸾煞，可令犯煞者在一段时日内寡情谊少良缘，直至心灰意冷。然而此煞并非无破解之法，只要有心寻找，机缘顺遂，自然可破。","PVX"
"维护期间给您带来的不便，敬请谅解！","格式"
"祝大家游戏愉快！","格式"
"《古剑奇谭网络版》项目组","格式"
"2024年11月6日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2024年10月31日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
">>【金番瓜盛筵】活动开启","PVX"
"枫叶渐红，秋意愈浓，长安胡人区的哈勒维恩近日越发忙碌，似乎是在筹备什么宴会的时候遇到了一点麻烦，赶紧去看看吧。","PVX"
"2024年10月30日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2024年10月24日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"【侠影藏锋】商城外观主题活动开启！","商城"
">>【礼包·侠影藏锋】限时上架通宝商城","商城"
"礼包内含：动态头衔·侠影藏锋、特效披风·侠气纵横、挂饰·夷险应承、挂饰·茕弱应挽、挂饰·恶佞应斩、挂饰·留光焰、挂饰·庇苍生、时晶*2。","商城"
">>异色发型限时返场","商城"
">>【侠影藏锋】主题外观限时折扣&时晶兑换","商城"
"【天衣·逍遥五岳】【天衣·尽纵昏晓】【天衣·捣寒凌香】【与君歌】【影刃】【桑下箓】【燕歌行】【幻夜曲】【森罗行】【玉律】【云诡波谲】系列外装、挂饰【呱大桩】【软玉鞭】【龙蛇剑】【凌寒剑】【双成剑】【霜雪吴钩】、坐骑【横光承影】【五阴嗔面】、武器【无相·夜贯星芒】、礼包【魅影潜踪】 【瀚海偃心】。","商城"
"【天衣·逍遥五岳】【天衣·尽纵昏晓】【天衣·捣寒凌香】【与君歌】【影刃】【桑下箓】【燕歌行】【幻夜曲】【森罗行】【玉律】【云诡波谲】系列外装、挂饰【呱大桩】【软玉鞭】【龙蛇剑】【凌寒剑】【双成剑】【霜雪吴钩】、坐骑【横光承影】【五阴嗔面】、武器【无相·夜贯星芒】。","商城"
">>坐骑【墨绶炎驹】返场积分商城","商城"
">>【侠影藏锋】活动开启","PVX"
"博物学者在游历途中，常将见到的风土人情以留影载册的形式记录下来，并将这些珍贵的影像记录大方赠予上进勤学的弟子，以资向学之人，扬勤学之风。","PVX"
"活动时间：2024年10月24日更新后~2024年11月21日更新前","PVX"
"活动期间，每周依次开放一轮任务，共四轮。完成任务进度，进入下一轮任务。","PVX"
"本活动的任务完成状态为账号共享。完成活动任务可获得【时晶】【尘晶】奖励。","PVX"
"往期活动奖励【头像·光焰万年】、【动态头像框·铸得星斗】以及【影焰】系列表情包-【影焰·大怒】、【影焰·惊诧】、【影焰·无语】、【影焰·得意】、【影焰·大喜】上架引道商店。","PVX"
"2024年10月23日","格式"
"各位仙家弟子：","格式"
"《古剑奇谭网络版》将于2021年12月16日5:30进行例行停机维护。","格式"
